Strategy,Event,Operation,BlockSize,Pointer,OpTime(s),TotalMemory,AllocatedMemory,Utilization(%),BlockCount
WORST_FIT,Initialization,t_init,0,0x7f58ce576000,0.00001400,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,100,0x7f58ce576040,0.00000200,16320,100,0.61,2
WORST_FIT,Allocation,t_malloc,200,0x7f58ce5760c4,0.00000100,16288,300,1.84,3
WORST_FIT,Deallocation,t_free,100,0x7f58ce576040,0.00000100,16288,200,1.23,3
WORST_FIT,Allocation,t_malloc,50,0x7f58ce576040,0.00000100,16256,250,1.54,4
WORST_FIT,Deallocation,t_free,200,0x7f58ce5760c4,0.00000100,16320,50,0.31,2
WORST_FIT,Deallocation,t_free,50,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,10,0x7f58ce576040,0.00000100,16320,10,0.06,2
WORST_FIT,Allocation,t_malloc,20,0x7f58ce57606a,0.00000200,16288,30,0.18,3
WORST_FIT,Allocation,t_malloc,30,0x7f58ce57609e,0.00000100,16256,60,0.37,4
WORST_FIT,Allocation,t_malloc,40,0x7f58ce5760dc,0.00000100,16224,100,0.62,5
WORST_FIT,Allocation,t_malloc,50,0x7f58ce576124,0.00000100,16192,150,0.93,6
WORST_FIT,Allocation,t_malloc,60,0x7f58ce576176,0.00000100,16160,210,1.30,7
WORST_FIT,Allocation,t_malloc,70,0x7f58ce5761d2,0.00000100,16128,280,1.74,8
WORST_FIT,Allocation,t_malloc,80,0x7f58ce576238,0.00000100,16096,360,2.24,9
WORST_FIT,Allocation,t_malloc,90,0x7f58ce5762a8,0.00000100,16064,450,2.80,10
WORST_FIT,Allocation,t_malloc,100,0x7f58ce576322,0.00000100,16032,550,3.43,11
WORST_FIT,Deallocation,t_free,10,0x7f58ce576040,0.00000100,16032,540,3.37,11
WORST_FIT,Deallocation,t_free,20,0x7f58ce57606a,0.00000100,16064,520,3.24,10
WORST_FIT,Deallocation,t_free,30,0x7f58ce57609e,0.00000100,16096,490,3.04,9
WORST_FIT,Deallocation,t_free,40,0x7f58ce5760dc,0.00000100,16128,450,2.79,8
WORST_FIT,Deallocation,t_free,50,0x7f58ce576124,0.00000100,16160,400,2.48,7
WORST_FIT,Deallocation,t_free,60,0x7f58ce576176,0.00000100,16192,340,2.10,6
WORST_FIT,Deallocation,t_free,70,0x7f58ce5761d2,0.00000100,16224,270,1.66,5
WORST_FIT,Deallocation,t_free,80,0x7f58ce576238,0.00000100,16256,190,1.17,4
WORST_FIT,Deallocation,t_free,90,0x7f58ce5762a8,0.00000100,16288,100,0.61,3
WORST_FIT,Deallocation,t_free,100,0x7f58ce576322,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,1,0x7f58ce576040,0.00000100,16320,1,0.01,2
WORST_FIT,Deallocation,t_free,1,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,10,0x7f58ce576040,0.00000100,16320,10,0.06,2
WORST_FIT,Deallocation,t_free,10,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,100,0x7f58ce576040,0.00000100,16320,100,0.61,2
WORST_FIT,Deallocation,t_free,100,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,1024,0x7f58ce576040,0.00000100,16320,1024,6.27,2
WORST_FIT,Deallocation,t_free,1024,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,10240,0x7f58ce576040,0.00000400,16320,10240,62.75,2
WORST_FIT,Deallocation,t_free,10240,0x7f58ce576040,0.00000100,16352,0,0.00,1
WORST_FIT,Allocation,t_malloc,102400,0x7f58ce321020,0.00001100,221184,102400,46.30,3
WORST_FIT,Deallocation,t_free,102400,0x7f58ce321020,0.00000200,221248,0,0.00,1
WORST_FIT,Allocation,t_malloc,1024000,0x7f58ce12c020,0.00001200,2269280,1024000,45.12,3
WORST_FIT,Deallocation,t_free,1024000,0x7f58ce12c020,0.00000200,2269344,0,0.00,1
WORST_FIT,Allocation,t_malloc,8000000,0x7f58cd1e9020,0.00001100,18269376,8000000,43.79,3
WORST_FIT,Deallocation,t_free,8000000,0x7f58cd1e9020,0.00000200,18269440,0,0.00,1
